sequence,filename,kernel_length,kernel_angle,blend,psnr,ssim,time_ms
GOPR0372_07_00,000125.png,11,105.0,0.2,24.270183113085025,0.7516660634956526,4178.051299997605
GOPR0372_07_00,000126.png,11,105.0,0.2,23.461840076386938,0.7201878200604132,4034.3893999997817
GOPR0372_07_00,000127.png,11,105.0,0.2,23.211776855267384,0.7235806630359171,3925.967999999557
GOPR0372_07_00,000128.png,11,105.0,0.2,24.518305681957084,0.7703721614750445,3790.349899998546
GOPR0372_07_00,000129.png,11,105.0,0.2,24.671781076584956,0.7736557176798771,4109.256200001255
GOPR0372_07_00,000130.png,11,105.0,0.2,27.093886176770997,0.8617745373337561,3902.57610000117
GOPR0372_07_00,000131.png,11,105.0,0.2,24.5601585426732,0.7791197029610135,4083.713299998635
GOPR0372_07_00,000132.png,11,105.0,0.2,29.129481271961847,0.8971895534175558,3955.3378999989945
GOPR0372_07_00,000133.png,11,105.0,0.2,29.196976155685313,0.8860836296052086,3603.381300003093
GOPR0372_07_00,000134.png,11,105.0,0.2,25.743413593550848,0.8042994008838691,3555.5501999988337
GOPR0372_07_00,000135.png,11,105.0,0.2,23.645768437876974,0.7323816098313003,3461.006500001531
GOPR0372_07_00,000136.png,11,105.0,0.2,23.30151605935365,0.7204961310102745,3451.613900000666
GOPR0372_07_00,000137.png,11,105.0,0.2,22.591286887168675,0.6972115362939036,3604.0821000024152
GOPR0372_07_00,000138.png,11,105.0,0.2,23.366667859205144,0.7437673734638687,3578.9212999989104
GOPR0372_07_00,000139.png,11,105.0,0.2,24.857248999938545,0.7973482336211526,3481.4230000010866
GOPR0372_07_00,000140.png,11,105.0,0.2,22.03789032063017,0.7096174211780782,3672.0148000022164
GOPR0372_07_00,000141.png,11,105.0,0.2,23.17292212443801,0.7314920458735331,3692.5791000030586
GOPR0372_07_00,000142.png,11,105.0,0.2,25.721912290423777,0.8102439668222668,3685.8725999991293
GOPR0372_07_00,000143.png,11,105.0,0.2,22.876629917009947,0.7026716681407491,3732.842299999902
GOPR0372_07_00,000144.png,11,105.0,0.2,22.51739198397077,0.7160326169321151,3717.8361999976914
GOPR0372_07_00,000145.png,11,105.0,0.2,21.76437617155252,0.6982962215034153,3657.893999999942
GOPR0372_07_00,000146.png,11,105.0,0.2,21.404356742440598,0.6680180073686705,3630.493700002262
GOPR0372_07_01,000601.png,11,75.0,0.2,24.86852888955974,0.7992490882789346,3681.648600002518
GOPR0372_07_01,000602.png,11,75.0,0.2,25.270580530384116,0.8051662666880072,3691.422399999283
GOPR0372_07_01,000603.png,11,75.0,0.2,24.09410917477551,0.7761391450670563,3650.7092000028933
GOPR0372_07_01,000604.png,11,75.0,0.2,23.416074710105754,0.7548164219259821,3746.505099999922
GOPR0372_07_01,000605.png,11,75.0,0.2,26.98778190615039,0.8578075137249742,3622.7029000001494
GOPR0372_07_01,000606.png,11,75.0,0.2,27.024389256580335,0.8519546944719273,3714.944600000308
GOPR0372_07_01,000607.png,11,75.0,0.2,23.63649883456241,0.7593704931192979,3655.5604999994102
GOPR0372_07_01,000608.png,11,75.0,0.2,23.632757938253036,0.7574848050866212,3682.7773000004527
GOPR0372_07_01,000609.png,11,75.0,0.2,22.47776052886116,0.7266187603474842,3633.718000000954
GOPR0372_07_01,000610.png,11,75.0,0.2,23.656733361640676,0.7747883956450249,3757.2887999995146
GOPR0372_07_01,000611.png,11,75.0,0.2,21.55004837541405,0.7131337288574282,3562.3023999978614
GOPR0372_07_01,000612.png,11,75.0,0.2,21.752197261839612,0.7435248713951834,3767.6418000010017
GOPR0372_07_01,000613.png,11,75.0,0.2,23.297470359932284,0.7775879398371387,3646.7755000012403
GOPR0372_07_01,000614.png,11,75.0,0.2,24.2375231886996,0.7954579183515843,3708.9929999965534
GOPR0372_07_01,000615.png,11,75.0,0.2,23.1169053167742,0.759191200336803,3716.6580999983125
GOPR0372_07_01,000616.png,11,75.0,0.2,23.44877946404434,0.7664120960287151,3624.0265000014915
GOPR0372_07_01,000617.png,11,75.0,0.2,25.000512821610414,0.7901800741417887,3596.0642999998527
GOPR0372_07_01,000618.png,11,75.0,0.2,24.99862398305169,0.7734732075215512,3747.612900002423
GOPR0372_07_01,000619.png,11,75.0,0.2,26.232300103291607,0.7924450566813444,3745.35939999987
GOPR0372_07_01,000620.png,11,75.0,0.2,26.312559040217224,0.7944826664140007,3746.530199998233
GOPR0372_07_01,000621.png,11,75.0,0.2,25.43745177942477,0.7707436324664743,3717.6403000012215
GOPR0372_07_01,000622.png,11,75.0,0.2,25.34217387386176,0.7775840082085078,3610.8265000002575
GOPR0372_07_01,000623.png,11,75.0,0.2,25.385950842216673,0.7736627353602664,3774.993799997901
GOPR0372_07_01,000624.png,11,75.0,0.2,25.566825607659126,0.7819427143479339,3706.2034999980824
GOPR0372_07_01,000625.png,11,75.0,0.2,25.276088829334412,0.7750422733757297,3726.006299999426
GOPR0372_07_01,000626.png,11,75.0,0.2,24.937258067323704,0.7616508560563675,3644.2834999979823
GOPR0372_07_01,000627.png,11,75.0,0.2,26.3187603955998,0.7910180646378974,3879.492100000789
GOPR0372_07_01,000628.png,11,75.0,0.2,27.95214446367167,0.822004409887715,3817.6829000003636
GOPR0372_07_01,000629.png,11,75.0,0.2,26.56606241930037,0.7799769933496036,3869.7333999989496
