sequence,filename,blend,confidence,psnr,ssim,time_ms
GOPR0372_07_01,000611.png,0.9,1.0,23.96112187547598,0.7840458030969076,717.8055999993376
GOPR0372_07_01,000612.png,0.9,1.0,23.925136807805508,0.7991486883066106,754.9319000008836
GOPR0372_07_01,000613.png,0.9,1.0,25.23248300905193,0.8280466936492906,686.660600000323
GOPR0372_07_01,000614.png,0.9,1.0,25.91886853241772,0.8445011485632882,683.6803999995027
GOPR0372_07_01,000615.png,0.9,1.0,25.408353984208013,0.8254657426576585,683.6561000000074
GOPR0372_07_01,000616.png,0.9,1.0,25.736892002199614,0.8311038599175303,667.3670000000129
GOPR0372_07_01,000617.png,0.9,1.0,26.562175431563556,0.8428399653983213,669.2364000009547
GOPR0372_07_01,000618.png,0.9,1.0,26.43886673398084,0.8277694120605915,673.3554000002187
GOPR0372_07_01,000619.png,0.9,1.0,27.125669464187638,0.8440365747827467,691.6621999989729
GOPR0372_07_01,000620.png,0.9,1.0,27.065571521591444,0.8462687229694342,694.1798000007111
GOPR0372_07_01,000621.png,0.9,1.0,26.693648514981867,0.8273521533328405,731.307600000946
GOPR0372_07_01,000622.png,0.9,1.0,26.86010821336376,0.8323102212167385,743.2475999994494
GOPR0372_07_01,000623.png,0.9,1.0,26.88659115634296,0.8266892946161075,689.7544000003109
GOPR0372_07_01,000624.png,0.9,1.0,26.94205624375433,0.8359710430858628,688.9005000011821
GOPR0372_07_01,000625.png,0.9,1.0,27.014039809064016,0.8350374754181097,688.2781000003888
GOPR0372_07_01,000626.png,0.9,1.0,26.980348953511445,0.8235576802425526,681.9880999992165
GOPR0372_07_01,000627.png,0.9,1.0,27.694025039114543,0.8432889081256882,692.1707000001334
GOPR0372_07_01,000628.png,0.9,1.0,28.322467320962467,0.8632703743436146,694.3357000000105
GOPR0372_07_01,000629.png,0.9,1.0,28.069108458304,0.8364221336442815,691.5148999996745
GOPR0372_07_01,000630.png,0.9,1.0,28.774455237270395,0.864797826489257,685.5983000004926
GOPR0372_07_01,000631.png,0.9,1.0,29.292018811764812,0.8964845182539478,713.4385000008479
GOPR0372_07_01,000632.png,0.9,1.0,28.074375423527357,0.8246559683371104,750.314700000672
GOPR0372_07_01,000633.png,0.9,1.0,26.536486048876476,0.8054397587749932,697.8486999996676
GOPR0372_07_01,000634.png,0.9,1.0,26.508876321332863,0.804677253942959,685.2694999997766
GOPR0372_07_01,000635.png,0.9,1.0,26.658864648340995,0.8079175446124038,687.5110000000859
GOPR0372_07_01,000636.png,0.9,1.0,25.772143453401522,0.7785041909648204,687.3049000005267
GOPR0372_07_01,000637.png,0.9,1.0,26.146725308032238,0.8222137702664427,677.295999999842
